JSV_Samam_Granular_Table.csv 3.0 2026-02-19 11:17:31
Global_Rik_Num,Patha_Name,Khanda,Rik_ID,Rik_Text,Rik_Metadata,Global_Samam_Num,Arsheyam_Num,Patha_Num,Samam_Num,Arsheyam_Name,Saman_Metadata
22,आग्नेयपाठः,तृतीय खण्डः,2,अग्निस्तिग्मे(4)ना(1)शोचीषा(1) । यंसद्वि(2)श्वंन्या टट्य त्रीणं । अ(2)ग्नि(2)र्नो(1)वंसतेरायिम्(3) ॥ २ ॥,।। भाद्वाजो बार्हस्पत्यः गायत्र्यग्निः।।,38,26,1,4,॥अग्नेर्हरसीद्वे॥,।। द्वयोरग्निर्गायत्र्यग्निः ।।
22,आग्नेयपाठः,तृतीय खण्डः,2,अग्निस्तिग्मे(4)ना(1)शोचीषा(1) । यंसद्वि(2)श्वंन्या टट्य त्रीणं । अ(2)ग्नि(2)र्नो(1)वंसतेरायिम्(3) ॥ २ ॥,।। भाद्वाजो बार्हस्पत्यः गायत्र्यग्निः।।,39,26,1,5,॥अग्नेर्हरसीद्वे॥,।। द्वयोरग्निर्गायत्र्यग्निः ।।
22,आग्नेयपाठः,तृतीय खण्डः,2,,।। भाद्वाजो बार्हस्पत्यः गायत्र्यग्निः।।,40,27,1,6,॥इहवद्वामदेव्यंतृतीयम्॥,।। वामदेवो गायत्र्यग्निः ।।
23,आग्नेयपाठः,तृतीय खण्डः,3,अग्नेमृ(4)ळामाहं आ(1)सि(1)। आ(2)याआ(4)दे(1)वायुन्ज(1)नम् ।ईये(3)थाबर्ही(1)रासादम् ॥ ३ ॥,।। वामदेवो गौतमः गायत्र्यग्निः।।,41,28,1,7,॥यामेद्वे॥,।। यमो गायत्र्यग्निः ।।
23,आग्नेयपाठः,तृतीय खण्डः,3,अग्नेमृ(4)ळामाहं आ(1)सि(1)। आ(2)याआ(4)दे(1)वायुन्ज(1)नम् ।ईये(3)थाबर्ही(1)रासादम् ॥ ३ ॥,।। वामदेवो गौतमः गायत्र्यग्निः।।,42,28,1,8,॥यामेद्वे॥,।। यमो गायत्र्यग्निः ।।
24,आग्नेयपाठः,तृतीय खण्डः,4,अ(2)ग्नेर(4)क्षाणोअं(2)हा(1)सः। प्रा(2)तीस्मदेवरिषाताः। ता(2)पीष्ठैराज(2)रोदहा ॥ ४ ॥ अ(3)ग्नेयुंक्ष्वाहीयेता(2)वा(1)।अश्वा(1)सोदेवासाधावाः । आ(2)रं(1) वा(4)ह(1)न्त्याशा(2)वाः(1) ॥ ५ ॥,।। वसिष्ठो मैत्रावरुणिः गायत्र्यग्निः।। ।। भाद्वाजो बार्हस्पत्यः गायत्र्यग्निः।।,43,29,1,9,॥अग्नेराक्षोघ्नेद्वे॥,।। अग्निःर्गायत्र्यग्निः ।।
24,आग्नेयपाठः,तृतीय खण्डः,4,अ(2)ग्नेर(4)क्षाणोअं(2)हा(1)सः। प्रा(2)तीस्मदेवरिषाताः। ता(2)पीष्ठैराज(2)रोदहा ॥ ४ ॥ अ(3)ग्नेयुंक्ष्वाहीयेता(2)वा(1)।अश्वा(1)सोदेवासाधावाः । आ(2)रं(1) वा(4)ह(1)न्त्याशा(2)वाः(1) ॥ ५ ॥,।। वसिष्ठो मैत्रावरुणिः गायत्र्यग्निः।। ।। भाद्वाजो बार्हस्पत्यः गायत्र्यग्निः।।,44,29,1,10,॥अग्नेराक्षोघ्नेद्वे॥,।। अग्निःर्गायत्र्यग्निः ।।
25,आग्नेयपाठः,तृतीय खण्डः,6,नित्वा(1)नक्ष्यविस्पते । धू(2)म(1)न्त(2)न्धीमहे वायम् । सु(2)वी(2)रामग्नआ(3)हुतः ॥ ६ ॥,।। वसिष्ठो मैत्रावरुणिः गायत्र्यग्निः।।,45,30,1,11,॥वैश्वमनसञ्च॥,।। विश्वमना गायत्र्यग्निः ।।
26,आग्नेयपाठः,तृतीय खण्डः,7,अ(2)ग्नि(2)र्मूर्द्धादीवाःकाकू(2)त् । पा(2)तीः पृथिव्या(2)आ(2)यम्। आपांरेतांसिजिन्वति ॥ ७ ॥,।। विरूप आंगिरसः गायत्र्यग्निः।।,46,31,1,12,॥अग्नेश्चार्षेयम्॥,।। अग्निःर्गायत्र्यग्निः ।।
27,आग्नेयपाठः,तृतीय खण्डः,8,ई(2)मामू(1)षुत्वाम(2)स्मा(1)कम् । सा(2)नि(4) ङ्गा(1)यात्र(2)न्नव्या(1)सम् । अग्ने(1) दे(2) वे(2)षु प्रा(2)वोचः ॥ ८ ॥,।। शुनः शेप आजीर्गितः गायत्र्यग्निः।।,47,32,1,13,॥सोमसामच॥,सोमो गायत्र्यग्निः ।।
