   "(\U00000020)"

$  "(\U00000024)"
𑌯𑍍  "(\U0001132F\U0001134D)"
𑌯𑍗  "(\U0001132F\U00011357)"
𑌯𑍢  "(\U0001132F\U00011362)"
𑌰  "(\U00011330)"
𑌰𑌂  "(\U00011330\U00011302)"
𑌰𑌃  "(\U00011330\U00011303)"
𑌰𑌾  "(\U00011330\U0001133E)"
𑌰𑌾𑌂  "(\U00011330\U0001133E\U00011302)"
𑌰𑌾𑌃  "(\U00011330\U0001133E\U00011303)"
𑌰𑌿  "(\U00011330\U0001133F)"
𑌰𑌿𑌂  "(\U00011330\U0001133F\U00011302)"
𑌰𑌿𑌃  "(\U00011330\U0001133F\U00011303)"
𑌰𑍀  "(\U00011330\U00011340)"
𑌰𑍀𑌂  "(\U00011330\U00011340\U00011302)"
𑌰𑍀𑌃  "(\U00011330\U00011340\U00011303)"
𑌰𑍁  "(\U00011330\U00011341)"
𑌰𑍁𑌂  "(\U00011330\U00011341\U00011302)"
𑌰𑍂  "(\U00011330\U00011342)"
𑌰𑍂𑌂  "(\U00011330\U00011342\U00011302)"
𑌰𑍂𑌃  "(\U00011330\U00011342\U00011303)"
𑌰𑍃  "(\U00011330\U00011343)"
𑌰𑍇  "(\U00011330\U00011347)"
𑌰𑍋  "(\U00011330\U00011347\U0001133E)"
𑌰𑍌  "(\U00011330\U00011347\U00011357)"
𑌰𑍈  "(\U00011330\U00011348)"
𑌰𑍍  "(\U00011330\U0001134D)"

𑌰𑍗  "(\U00011330\U00011357)"
𑌰𑍢  "(\U00011330\U00011362)"
𑌲  "(\U00011332)"
𑌲𑌂  "(\U00011332\U00011302)"
𑌲𑌾  "(\U00011332\U0001133E)"
𑌲𑌾𑌂  "(\U00011332\U0001133E\U00011302)"
𑌲𑌿  "(\U00011332\U0001133F)"
𑌲𑍀  "(\U00011332\U00011340)"
𑌲𑍇  "(\U00011332\U00011347)"
𑌲𑍋  "(\U00011332\U00011347\U0001133E)"

𑌲𑍍  "(\U00011332\U0001134D)"
𑌲𑍗  "(\U00011332\U00011357)"
𑌵  "(\U00011335)"
𑌵𑌂  "(\U00011335\U00011302)"
𑌵𑌾  "(\U00011335\U0001133E)"
𑌵𑌾𑌂  "(\U00011335\U0001133E\U00011302)"
𑌵𑌾𑌃  "(\U00011335\U0001133E\U00011303)"
𑌵𑌿  "(\U00011335\U0001133F)"
𑌵𑌿𑌂  "(\U00011335\U0001133F\U00011302)"
𑌵𑌿𑌃  "(\U00011335\U0001133F\U00011303)"
𑌵𑍀  "(\U00011335\U00011340)"
𑌵𑍀𑌂  "(\U00011335\U00011340\U00011302)"
𑌵𑍀𑌃  "(\U00011335\U00011340\U00011303)"
𑌵𑍁  "(\U00011335\U00011341)"
𑌵𑍁𑌂  "(\U00011335\U00011341\U00011302)"
𑌵𑍂  "(\U00011335\U00011342)"
𑌵𑍃  "(\U00011335\U00011343)"
𑌵𑍇  "(\U00011335\U00011347)"
𑌵𑍋  "(\U00011335\U00011347\U0001133E)"
𑌵𑍋𑌃  "(\U00011335\U00011347\U0001133E\U00011303)"

𑌵𑍈  "(\U00011335\U00011348)"
𑌵𑍍  "(\U00011335\U0001134D)"
𑌵𑍗  "(\U00011335\U00011357)"
𑌶  "(\U00011336)"
𑌶𑌂  "(\U00011336\U00011302)"
𑌶𑌃  "(\U00011336\U00011303)"
𑌶𑌾  "(\U00011336\U0001133E)"
𑌶𑌾𑌂  "(\U00011336\U0001133E\U00011302)"
𑌶𑌾𑌃  "(\U00011336\U0001133E\U00011303)"
𑌶𑌿  "(\U00011336\U0001133F)"
𑌶𑍀  "(\U00011336\U00011340)"
𑌶𑍁  "(\U00011336\U00011341)"
𑌶𑍁𑌂  "(\U00011336\U00011341\U00011302)"
𑌶𑍂  "(\U00011336\U00011342)"
𑌶𑍂𑌂  "(\U00011336\U00011342\U00011302)"
𑌶𑍂𑌃  "(\U00011336\U00011342\U00011303)"
𑌶𑍃  "(\U00011336\U00011343)"
𑌶𑍄  "(\U00011336\U00011344)"
𑌶𑍇  "(\U00011336\U00011347)"
𑌶𑍋  "(\U00011336\U00011347\U0001133E)"

𑌶𑍈  "(\U00011336\U00011348)"
𑌶𑍍  "(\U00011336\U0001134D)"
𑌶𑍗  "(\U00011336\U00011357)"
𑌶𑍢  "(\U00011336\U00011362)"
𑌷  "(\U00011337)"
𑌷𑌂  "(\U00011337\U00011302)"
𑌷𑌃  "(\U00011337\U00011303)"
𑌷𑌻  "(\U00011337\U0001133B)"
𑌷𑌻𑌂  "(\U00011337\U0001133B\U00011302)"
𑌷𑌻𑌾  "(\U00011337\U0001133B\U0001133E)"
𑌷𑌻𑌾𑌂  "(\U00011337\U0001133B\U0001133E\U00011302)"
𑌷𑌻𑌾𑌃  "(\U00011337\U0001133B\U0001133E\U00011303)"
𑌷𑌻𑍀  "(\U00011337\U0001133B\U00011340)"
𑌷𑌻𑍍  "(\U00011337\U0001133B\U0001134D)"
𑌷𑌻𑍗  "(\U00011337\U0001133B\U00011357)"
𑌷𑌾  "(\U00011337\U0001133E)"
𑌷𑌾𑌂  "(\U00011337\U0001133E\U00011302)"
𑌷𑌾𑌃  "(\U00011337\U0001133E\U00011303)"

𑌷𑌿  "(\U00011337\U0001133F)"
